game_name,min_cpu,min_gpu,min_ram,min_dx,min_os,min_sto,min_net,rec_cpu,rec_gpu,rec_ram,rec_dx,rec_os,rec_sto,rec_net
A Plague Tale: Requiem,Intel Core i5-4690k (3.5 GHz) / AMD FX-8300 (3.3 GHz),"4 GB, GeForce GTX 970 / Radeon RX 590",16 GB,Directx 12 (Level 12 and Shader Model 6.0 are needed),Windows 10 (20H1 64-bit),55 GB available space,,Intel Core i7-8700k (3.7 GHz) / AMD Ryzen 5 3600 (3.6 GHz),"8 GB, GeForce RTX 3070 / Radeon RX 6800 XT",16 GB,Directx 12 (Level 12 and Shader Model 6.0 are needed),Windows 10 (20H1 64-bit),55 GB available space (SSD storage is recommended),
A Quiet Place,,,,,,,,,,,,,,
A Quiver of Crows,Dual-core 2.2 GHz,NVIDIA GeForce GTX 260 / ATI Radeon 4870 HD / Intel HD 4600 / or equivalent with at least 512 MB VRAM,2 GB RAM,,Windows Vista,250 MB available space,,Dual-core 2.4 GHz,Equivalent of GeForce 9800 GTX / Radeon HD 5000 / Intel HD 5200,4 GB RAM,,Windows 8.1 or 10,250 MB available space,
A Rat's Quest - The Way Back Home,Intel Core i5 / AMD FX-6300,GTX 650 Ti 1GB/ Radeon 6950 1GB or better,6 GB RAM,,Windows 10 64bits,8 GB available space,,,,,,,,
A Rip In Time,Intel Core i3-4340 / AMD FX-6300,nVidia GeForce GTX 660 2GB / AMD Radeon HD 7850 2GB,6 GB RAM,,"64-bit Windows 7, Windows 8.1, Windows 10",30 GB available space,Broadband Internet connection,,,,,,,
A Robot Named Fight!,Intel Pentium E2180 2.0 GHz (or AMD equivalent),Anything with DX9 (shader model 3.0) capability,1 GB RAM,Version 9.0,Windows XP SP2+,600 MB available space,,,,,,,,
A Short Hike,Intel or AMD Dual Core at 2 GHz or better,Intel Graphics 4400 or better,2 GB RAM,Version 11,Windows 7 SP1+ (or later),400 MB available space,,,,,,,,
A Show of Kindness,"CPU: Intel i5-4590, AMD FX 8350 equivalent or better","Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better",4 GB RAM,,"Windows 7 SP1, Windows 8.1 or later, Windows 10",5 GB available space,,"CPU: Intel i5-4590, AMD FX 8350 equivalent or better","Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better",4 GB RAM,,"Windows 7 SP1, Windows 8.1 or later, Windows 10",5 GB available space,
A Story About My Uncle,"Intel Core 2 Duo, AMD Athlon X2, or equal at 1.6GHz or better","DirectX 9.0c-compatible, SM 3.0-compatible",2 GB RAM,Version 9.0c,"Windows XP (SP3), Windows Vista (SP2), Windows 7, Windows 8",2 GB available space,,QuadCore 2.0 GHz+,"DirectX 9.0c-compatible, SM 3.0-compatible, 1024MB VRAM+",4 GB RAM,Version 9.0c,Windows 7 or 8,2 GB available space,
A Tale of Paper,Intel CPU Core i3,Nvidia GPU GeForce GTX 660,4 GB RAM,Version 11,"Windows 7, 64-bit",3015 MB available space,,Intel CPU Core i7,Nvidia GPU GeForce GTX 660,8 GB RAM,Version 11,"Windows 7, 64-bit",4 GB available space,
A Vampyre Story,1.6 GHz,256 MB video card GeForce FX-generation or ATI Radeon 9500,512 MB,DirectX 9.0,Windows XP / Windows Vista,3 GB hard disk space,,2 GHz,512 MB video card GeForce 6 or ATI Radeon 9800,512 MB,DirectX 9.0,Windows XP / Windows Vista,5 GB hard disk space,
A Virus Named Tom,,Direct X 9.0c / Shader Model 2.0,,9.0c,Windows XP (sp2),250 MB HD space,,,,,10,Windows XP (sp2),250 MB HD space,
A Walk in the Dark,1.7 GHz Dual Core or Greater,256 MB DirectX 9.0c compatible graphics card (shader model 3),2 GB RAM,DirectX 9.0c,"Windows XP, Vista, 7, 8",200 MB available space,,,,,,,,
A Way Out,"Intel core i3-2100T @ 2.5GHz/AMD FX 6100, or better","NVIDIA GeForce GTX 650Ti 2GB, AMD Radeon HD 7750 2GB",8 GB,DirectX 11,"Windows 7 64-bit, 8.1 64-bit or Windows 10 64-bit",25 GB,256Kbps or faster Internet connection,Intel Core i5 3570K; AMD Ryzen 3 1300x or equivalent,Nvidia GTX 960; AMD R9 290 or equivalent,16 GB,DirectX 11,"Windows 7 64-bit, 8.1 64-bit or Windows 10 64-bit",25 GB,256Kbps or faster Internet connection
A-10 VR,Intel Core i5-4590 equivalent or greater,NVIDIA GeForce GTX 970 /Radeon R9 290 equivalent or greater,8 GB RAM,,"Windows 7,8 or 10 (64bit)",200 MB available space,,,,,,,,
A.I. Invasion,Intel or AMD 2.0-3.4 GHz Dual Core,"512 mb, Directx 9.0c SM 3.0",4 GB RAM,Version 9.0c,Windows Vista/7/8,2 GB available space,,Intel/AMD 3.0+ GHz Quad Core or Greater,1GB Nvidia GT/GTS or ATI Radeon HD,8 GB RAM,Version 9.0c,Windows 7,2 GB available space,
A.I. Space Corps,Intel or AMD 2.0-3.4 GHz Dual Core,"512 mb, Directx 9.0c SM 3.0",4 GB RAM,Version 9.0c,Windows Vista/7/8,2 GB available space,,Intel/AMD 3.0+ GHz Quad Core or Greater,1GB Nvidia GT/GTS or ATI Radeon HD,8 GB RAM,Version 9.0c,Windows 7,2 GB available space,
A.I.M.,Intel Pentium III or AMD Athlon 800 MHz,"32 Mb video memory, nVidia GeForce 2; ATI Radeon 7500 or higher",256 MB,DirectX 8.1,"Microsoft Windows 98 SE, ME, 2000, XP","2,500 MB hard disk space for installation; 600 Mb for save games and swap file",,"Intel Pentium IV or AMD Athlon 1,5 HHz","64 Mb video memory, nVidia GeForce 3 and higher; or ATI Radeon 8500 and higher; AGP 4x; for maximum settings 128 Mb video memory, nVidia GeForce FX 5600; or ATI Radeon 9500 and higher; AGP 8x",512 Mb,Direct X 8.1,"Microsoft Windows 98 SE, ME, 2000, XP","2,500 MB hard disk space for installation; 600 Mb for save games and swap file",
A.I.M. 2 Clan Wars,Intel Pentium IV or AMD Athlon 800 MHz,"32 Mb video memory, nVidia GeForce 3; ATI Radeon 7500 or higher",256 MB,Direct X 8.1,"Microsoft Windows 98 SE, ME, 2000, XP","2,500 MB hard disk space for installation; 600 Mb for save games and swap file",,"Intel Pentium IV or AMD Athlon 1,5 HHz","64 Mb video memory, nVidia GeForce 3 and higher; or ATI Radeon 8500 and higher; AGP 4x; for maximum settings 128 Mb video memory, nVidia GeForce FX 5900; or ATI Radeon 9800 and higher; AGP 8x",768 MB,Direct X 8.1,"Microsoft Windows 98 SE, ME, 2000, XP","3,500 MB hard disk space for installation; 600 Mb for save games and swap file",
A.N.N.E,2.2 ghz,[GT710] [HD7750],2 GB RAM,,Microsoft Windows 10,2 GB available space,,2.4 ghz,[GT730] [R7 240],3 GB RAM,,Microsoft Windows 10,2 GB available space,
A3 India,P III 600MHz,min. 32 MB VRAM NVIDIA: Riva TNT series ATI: Radeon 7000 3dfx: Voodoo 4,128 MB RAM,DirectX 8.1 or higher,,1.2 GB,Internet Connection,P III 1GHz,NVIDIA: GeForce 2 or higher ATI: Radeon 8500 or higher 3dfx: Higher than Voodoo 4,512 MB RAM,DirectX 8.1 or higher,,1.5 GB,Internet Connection
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,1.5 GHz processor,3D card with 512MB video memory,1GB,DirectX 9.0c,Windows XP/Vista/7,,,,,,,,,
Aaero,Intel Core i3,NVidia GTX 550,4 GB RAM,,Windows 10,2 GB available space,,,,,,,,
Aarklash: Legacy,"AMD/intel dual-core running at 1,8 GHz (AMD Athlon II and Intel Core2Duo are the oldest CPU architectures recommended)","Integrated or mobile graphic card, with at least 256MB of dedicated VRAM and with at least DirectX 9.0c and Shader Model 4.0 support. ATI/AMD Radeon 3800 series and above and NVIDIA GeForce 8600 series are minimum required graphic cards.","1,5 Go for windows XP / 2 Go for Vista, Seven or 8 GB RAM",Version 9.0c,Windows 7 / Vista / XP PC (32 ou 64 bit),4 GB available space,,"AMD/intel quad-core running at 2,2 GHz (Intel Core I 1st gen or AMD Phenom II x4 or newer architectures are recommended)",ATI/Nvidia dedicated or mobile graphic card with at least 512MB of dedicated VRAM and with at least DirectX 9.0c and Shader Model 4.0 support. ATI/AMD Radeon HD4800 series and NVIDIA GeForce GTX260 and above are recommended graphic cards.,2 Go for 32 bit windows (XP/Vista/7/8) / 3 Go for 64 bit windows (XP/Vista/7/8) GB RAM,Version 9.0c,Windows 7 / Vista / XP PC (32 ou 64 bit),4 GB available space,
Abandon Ship,2.4GHz Processor,NVIDIA GeForce 460 Graphics Card or equivalent,4 GB RAM,Version 11,Windows 7 64-Bit,5 GB available space,,,,,,,,
Abandoned,,,,,,,,,,,,,,
Abatron,2 GHz Dual-Core 64-bit CPU,DirectX10 Compatible GPU with 1 GB Video RAM,4 GB RAM,Version 10,"64-Bit Windows 7 Service Pack 1, or Windows 8, or Windows 10",5 GB available space,Broadband Internet connection,,,,,,,
Above,2 GHz Processor or better,Intel HD 3000 or better,2 GB RAM,Version 11,Vista SP1+ or later,2 GB available space,,,,,,,,
Absolute Drift,2.2GHz Dual Core,512 MB RAM,2 GB RAM,,Windows XP / Vista / 7 / 8 / 10 (64-bit Systems Only),350 MB available space,,,,,,,,
Absolute Tactics: Daughters of Mercy,Intel Core i5-650 | AMD Phenom II X4 965,DirectX10 graphics adapter with 512 MB VRAM,2 GB RAM,Version 10,Windows 7,4 GB available space,,,,,,,,
Absolver,Intel Core i7-950 (4 * 3000) or equivalent / AMD Phenom II X4 965 (4 * 3400) or equivalent,GeForce GTX 480 (1536 MB) / Radeon HD 7850 (2048 MB),4 GB RAM,Version 9.0,Windows 7/8/8.1/10 x64,11 GB available space,Broadband Internet connection,Intel Core i5-4670K (4*3400) or equivalent / AMD FX-8320 (8 * 3500) or equivalent,GeForce GTX 960 (4096 MB) / Radeon R9 380 (2048 MB) or better,8 GB RAM,Version 9.0,Windows 7/8/8.1/10 x64,11 GB available space,Broadband Internet connection
Abstract Initiative,Core i3 | AMD A6 2.4Ghz,NVIDIA GeForce GT 240 | AMD Radeon HD 4670 | Intel HD Graphics 4000,2 GB RAM,Version 9.0,Windows Vista SP2 | 7 SP1 | 8 | 10,5 GB available space,,,,,,,,
Abyss Odyssey,Intel Core 2 Duo 2.4 GHz or AMD Athlon X2 4800+,ATI 3850HD 512 MB or NVIDIA GeForce 8800 GT 512MB,2 GB RAM,Version 9.0c,"Windows XP, Vista, 7",4 GB available space,,Intel Core i5,NVIDIA GeForce GTX 280,4 GB RAM,Version 9.0c,"Windows XP, Vista, 7",4 GB available space,
Abyss World : Apocalypse,INTEL CORE I5-8400 or AMD RYZEN 3 3300X,NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB,12 GB RAM,Version 12,Windows 10 (64-bit),80 GB available space,,INTEL CORE I7-8700K or AMD RYZEN 5 3600X,NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GB,16 GB RAM,Version 12,Windows 10/11 (64-bit),80 GB available space,
Abyssals,,,,,,,,,,,,,,
ABZU,3.0GHz CPU Dual Core,Geforce GTX 750 / Radeon R7 260X,4 GB RAM,Version 11,"Windows 7, 64-bit",6 GB available space,,2.4GHz CPU Quad Core,Geforce GTX 780 / Radeon R9 290X,8 GB RAM,Version 11,"Windows 7, 64-bit",6 GB available space,
AC-130: Operation Devastation,Pentium® III 1.4 GHz or faster or equivalent,64 MB video card or higher,256 MB RAM,DirectX® 9.0c,Windows® XP/Vista,250 MB Hard Disk space,,,,,,,,
Academia: School Simulator,1.6 GHz,onboard,4 GB RAM,,"Windows 7,10",50 MB available space,,(Any),onboard,8 GB RAM,,"Windows 7,10",,
Acaratus,Intel Core 2 Duo or AMD equivalent,512 MB VRAM,2 GB RAM,Version 10,Windows XP/Vista/7/8/10 (32 or 64 bit),2 GB available space,,Intel i5 series or AMD equivalent,NVIDIA 1 GB VRAM,2 GB RAM,Version 10,Windows 7/8/10 (64 bit),2 GB available space,
Accounting,Intel i5-4590 equivalent or better,"Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better",4 GB RAM,,"Windows 7 SP1, Windows 8.1 or later, Windows 10",1 GB available space,,,,,,,,
